ATL	Hawks	Atlanta	Atlanta Hawks	Philips Arena
BKN	Nets	Brooklyn	Brooklyn Nets	TD Garden
BOS	Celtics	Boston	Boston Celtics	Barclays Center
CHA	Hornets	Charlotte	Charlotte Hornets	Spectrum Center
CHI	Bulls	Chicago	Chicago Bulls	United Center
CLE	Cavaliers	Cleveland	Cleveland Cavaliers	Quicken Loans Arena
DAL	Mavericks	Dallas	Dallas Mavericks	American Airlines Center
DEN	Nuggets	Denver	Denver Nuggets	Pepsi Center
DET	Pistons	Detroit	Detroit Pistons	Little Caesars Arena
GSW	Warriors	Golden State	Golden State Warriors	ORACLE Arena
HOU	Rockets	Houston	Houston Rockets	Toyota Center
IND	Pacers	Indiana	Indiana Pacers	Bankers Life Fieldhouse
LAC	Clippers	LA	LA Clippers	Staples Center
LAL	Lakers	Los Angeles	Los Angeles Lakers	Staples Center
MEM	Grizzlies	Memphis	Memphis Grizzlies	FedExForum
MIA	Heat	Miami	Miami Heat	AmericanAirlines Arena
MIL	Bucks	Milwaukee	Milwaukee Bucks	Fiserv Forum
MIN	Timberwolves	Minnesota	Minnesota Timberwolves	Target Center
NOP	Pelicans	New Orleans	New Orleans Pelicans	Smoothie King Center
NYK	Knicks	New York	New York Knicks	Madison Square Garden
OKC	Thunder	Oklahoma City	Oklahoma City Thunder	Chesapeake Energy Arena
ORL	Magic	Orlando	Orlando Magic	Amway Center
PHI	76ers	Philadelphia	Philadelphia 76ers	Wells Fargo Center
PHX	Suns	Phoenix	Phoenix Suns	Talking Stick Resort Arena
POR	Trail Blazers	Portland	Portland Trail Blazers	Moda Center
SAC	Kings	Sacramento	Sacramento Kings	Golden 1 Center
SAS	Spurs	San Antonio	San Antonio Spurs	AT&T Center
TOR	Raptors	Toronto	Toronto Raptors	Air Canada Centre
UTA	Jazz	Utah	Utah Jazz	Vivint Smart Home Arena
WAS	Wizards	Washington	Washington Wizards	Capital One Arena
